genus,species,species authority,new to this study,sample name,voucher,country,notes,
Centropogon,alectrolophos,B. A. Stein,FALSE,LL312_C_alectrolophos,B. Ollgaard 358800,Ecuador,,
Centropogon,asclepiadeus,E. Wimm.,FALSE,LL61_C_asclepideus,"R. Weaver, Jr 155",Colombia,GH,
Centropogon,baezanus,Jeppesen,FALSE,LL324_C_baezanus,C. Perrson 1634,Ecuador,,
Centropogon,brittonianus,Zahlbr.,FALSE,LL83_C_brittonianus,L. Lagomarsino 196,Bolivia,GH,
Centropogon,congestus,Gleason,FALSE,LL21_C_congestus,L. Lagomarsino 40,Costa Rica,,
Centropogon,cordifolius,Benth.,FALSE,LL327_C_cordifolius,R. Kriebel 5559,Guatemala,,
Centropogon,cornutus,(L.) Druce,FALSE,LL28_C_cornutus,L. Lagomarsino 93,Panama,,
Centropogon,costaricae,(Vatke) McVaugh,FALSE,LL325_C_costaricae,L. Lagomarsino 148,Costa Rica,,
Centropogon,dianae,Lammers,FALSE,LL195_C_dianae,L. Lagomarsino 415,Peru,,
Centropogon,erythraeus,Drake,FALSE,LL37_C_erythraeus,L. Andersson 2529 (GB),Ecuador,,
Centropogon,grandidentatus,(Schltdl.) Zahlbr.,FALSE,LL47_C_grandidentatus,UCBG 81.0952,Cultivated,,
Centropogon,granulosus,C. Presl,FALSE,LL161_C_granulosus_Peru,L. Lagomarsino 330,Peru,,
Centropogon,incanus,(Britton) Zahlbr.,FALSE,LL49_C_incanus,S. Achá 207,Bolivia,"MO, http://www.tropicos.org/Specimen/100223260",
Centropogon,incanus,(Britton) Zahlbr.,FALSE,LL85_C_incanus,L. Lagomarsino 200,Bolivia,,
Centropogon,incanus,(Britton) Zahlbr.,FALSE,LL87_C_incanus_pink,L. Lagomarsino 223,Bolivia,,
Centropogon,macbridei,Gleason,FALSE,LL165_C_macbridei,L. Lagomarsino 337,Peru,,
Centropogon,mandonis,Zahlbr.,FALSE,LL86_C_mandonis,L. Lagomarsino 243,Bolivia,GH,
Centropogon,nigricans,Zahlbr.,FALSE,LL69_C_nigricans,N. Muchhala 118,Ecuador,QCA,
Centropogon,palmanus,(Donn. Sm.) E. Wimm.,FALSE,LL35_C_palmanus,L. Lagomarsino 193,Costa Rica,,
Centropogon,perlongus,Gleason,FALSE,LL194_C_perlongus,L. Lagomarsino 409,Peru,,
Centropogon,pulcher,Zahlbr.,FALSE,LL168_C_pulcher,L. Lagomarsino 344,Peru,,
Centropogon,simulans,Lammers,FALSE,LL248_C_simulans,L. Lagomarsino 402,Peru,,
Centropogon,smithii,E. Wimm.,FALSE,LL6_C_smithii,L. Lagomarsino 68,Costa Rica,"GH, http://www.tropicos.org/Specimen/101063721",
Centropogon,solanifolius,Benth.,FALSE,LL26_C_solanifolius,L. Lagomarsino 25,Costa Rica,,
Centropogon,urubambae,E. Wimm.,FALSE,LL171_C_urubambae,L. Lagomarsino 347,Peru,,
Centropogon,vargasii,B. A. Stein,FALSE,LL244_C_vargasii,L. Lagomarsino 356,Peru,,
Centropogon,viriduliflorus,E. Wimm.,FALSE,LL180_C_viriduliflora,L. Lagomarsino 370,Peru,,
Lysipomia,pumila,(Wedd.) E. Wimm.,FALSE,LL104_Lysipomia,L. Lagomarsino 238,Bolivia,,
Siphocampylus,actinothrix,E. Wimm.,FALSE,LL352_S_actinothrix,L. Lagomarsino 403,Peru,,
Siphocampylus,andinus,Britton,FALSE,LL94_S_andinus,L. Lagomarsino 226,Bolivia,,
Siphocampylus,antonellii,Lagom. & D. Santam.,FALSE,LL189_S_antonellii,L. Lagomarsino 400,Peru,,
Siphocampylus,asplundii,Jeppesen,FALSE,LL333_S_asplundii,E. Narvaez 539,Ecuador,,
Siphocampylus,aureus,Rusby,FALSE,LL334_S_aureus,"J. Wood 14,956",Bolivia,"MO, not digitized",
Siphocampylus,ayersiae,Lammers,FALSE,LL88_S_ayersiae,L. Lagomarsino 212,Bolivia,GH,
Siphocampylus,boliviensis,Zahlbr.,FALSE,LL90_S_boliviensis,L. Lagomarsino 239,Bolivia,,
Siphocampylus,chloroleucus,E. Wimm.,FALSE,LL355_S_chloroleucus,Asplund 13060,Ecuador,,
Siphocampylus,correoides,E. Wimm.,FALSE,LL357_S_correoides,"J. Solomon 15,324",Bolivia,,
Siphocampylus,fiebrigii,E. Wimm.,FALSE,LL358_S_fiebrigii,S. Beck 11587,Bolivia,,
Siphocampylus,giganteus,(Cav.) G.Don,FALSE,LL328_S_giganteus,A. Antonelli 595,Brazil,,
Siphocampylus,imbricatus,(Cham.) G.Don,FALSE,LL269_S_imbricatus,R. Harley 25784,Brazil,,
Siphocampylus,jelskii,Zahlbr.,FALSE,LL159_S_jelskii,L. Lagomarsino 321,Peru,"GH, http://www.tropicos.org/Specimen/101032584",
Siphocampylus,krauseanus,E. Wimm.,FALSE,LL363_S_krauseanus,Suclli 1093,Peru,"MO, http://www.tropicos.org/Specimen/2204604",
Siphocampylus,longibracteolatus,E. Wimm.,FALSE,LL366_S_longibracteolatus,B. A. Stein 3150,Colombia,,
